55393	2	1207	7	22	23	22	23	-1	
55393	2	1357	1	4	2	1	3	4	
55393	2	1605	1	3	2	5	1	2	
55393	2	1765	1	2	5	2	1	-1	
55393	2	1805	1	4	4	1	-1	-1	
55393	2	1906	3	9	1	-1	-1	-1	
55393	2	1931	1	2	3	-1	-1	-1	
55393	2	2807	2	-1	-1	-1	-1	-1	
51178	2	1225	2	4	4	5	4	-1	
51178	2	1357	2	7	7	6	7	7	
51178	2	1637	3	8	7	7	8	7	
51178	2	1792	1	1	3	3	-1	-1	
51178	2	1849	2	8	6	9	6	8	
51178	2	1926	3	11	11	12	1	-1	
51178	2	4135	1	-1	-1	-1	-1	-1	
55983	2	1116	1	-1	-1	-1	-1	-1	
55983	2	1126	4	1	-1	-1	-1	-1	
55983	2	1281	2	3	4	4	4	-1	
55983	2	1649	1	3	1	1	3	2	
55983	2	1745	1	1	-1	-1	-1	-1	
55983	2	1867	2	8	8	7	-1	-1	
55983	2	2818	4	-1	-1	-1	-1	-1	
58867	2	1215	2	8	10	7	9	-1	
58867	2	1351	1	-1	-1	-1	-1	-1	
58867	2	1524	1	3	2	4	-1	-1	
58867	2	1615	3	7	9	9	7	9	
58867	2	1771	1	2	2	-1	-1	-1	
58867	2	1805	3	12	9	1	-1	-1	
58867	2	1915	5	22	2	-1	-1	-1	
58867	2	2810	5	-1	-1	-1	-1	-1	
58867	2	2965	1	4	4	3	2	2	
58867	2	2974	1	4	3	1	2	1	
58188	2	1088	1	1	2	-1	-1	-1	
58188	2	1524	1	4	1	2	-1	-1	
58188	2	1535	1	2	1	-1	-1	-1	
58188	2	1947	1	11	1	-1	-1	-1	
58188	2	2818	-1	-1	-1	-1	-1	-1	
58188	2	2920	1	-1	-1	-1	-1	-1	
58188	2	2945	1	-1	-1	-1	-1	-1	
58188	2	2965	1	4	2	2	2	1	
58188	2	2974	1	1	1	4	2	3	
58040	2	1135	3	13	12	13	13	-1	
58040	2	1207	3	11	10	12	12	-1	
58040	2	1367	1	-1	-1	-1	-1	-1	
58040	2	1605	1	3	2	5	2	1	
58040	2	1782	1	3	1	3	4	3	
58040	2	1805	5	16	14	1	-1	-1	
58040	2	1906	3	8	1	-1	-1	-1	
58040	2	1931	1	3	1	-1	-1	-1	
58040	2	2806	4	-1	-1	-1	-1	-1	
59763	2	1105	2	9	10	11	1	-1	
59763	2	1219	1	3	4	3	1	-1	
59763	2	1358	1	1	2	3	3	4	
