Student Number	Course Number
13532	1676
13532	1849
13532	1925
13532	1940
13540	1249
13540	1359
13540	1649
13540	1867
13540	1947
13540	2818
13586	1025
13586	1225
13586	1355
13586	1444
13586	1635
13586	1834
13586	1925
13586	2920
13587	1031
13587	1201
13587	1231
13587	1523
13587	1605
13587	1765
13587	1843
13587	1906
13587	2801
13587	2908
13587	2920
13590	1250
13590	1340
13590	1508
13590	1535
13590	1669
13590	1869
13590	2818
13591	1126
13591	1250
13591	1319
13591	1649
13591	1867
13591	1947
13591	2818
13593	1051
13593	1135
13593	1207
13593	1367
13593	1605
13593	1783
13593	1809
13593	1906
13593	2803
13764	1031
13764	1051
13764	1135
13764	1207
13764	1355
13764	1783
13764	1815
13764	2803
13772	1125
13772	1225
13772	1359
13772	1508
13772	1649
13772	1792
13772	1849
13772	1925
13786	1051
13786	1057
13786	1209
13786	1357
13786	1422
13786	1609
13786	1765
13786	1809
13786	1906
13786	2806
13807	1105
13807	1215
13807	1358
13807	1615
13807	1782
13807	1829
13807	1835
13807	1919
13964	1225
13964	1358
13964	1508
13964	1515
13964	1629
13964	1849
13964	1925
13968	1105
13968	1211
13968	1213
13968	1355
13968	1524
13968	1606
13968	1613
13968	1843
13968	1915
13970	1135
13970	1207
13970	1337
13970	1609
13970	1676
13970	1765
13970	1809
13970	1936
13970	2802
13991	1030
13991	1239
13991	1669
13991	1867
13991	1947
13991	2818
13992	1239
13992	1515
13992	1582
13992	1637
13992	1835
13992	1947
13992	2818
13997	1125
13997	1155
13997	1159
13997	1225
13997	1423
13997	1637
13997	1849
13997	1925
14038	1077
14038	1209
14038	1256
14038	1315
14038	1609
14038	1765
14038	1809
14038	1936
14038	2807
14040	1209
14040	1256
14040	1295
14040	1357
14040	1609
14040	1765
14040	1809
14040	1959
14040	2801
14042	1105
14042	1209
14042	1357
14042	1609
14042	1676
14042	1765
14042	1809
14042	1906
14042	2803
14043	1126
14043	1239
14043	1350
14043	1669
14043	1890
14043	1948
14043	2818
14043	1784A
14044	1017
14044	1125
14044	1256
14044	1261
14044	1359
14044	1637
14044	1792
14044	1849
14044	1920
14664	1219
14664	1338
14664	1503
14664	1629
14664	1784
14664	1845
14664	1860
14664	1919
14665	1215
14665	1358
14665	1515
14665	1613
14665	1783
14665	1843
14665	1915
14666	1215
14666	1245
14666	1805
14666	1915
14666	2920
14666	2945
14666	2946
14666	2947
14667	1035
14667	1061
14667	1215
14667	1357
14667	1615
14667	1784
14667	1834
14667	1915
14668	1012
14668	1412
14668	1782
14668	1805
14668	2920
14668	2945
14668	2946
14668	2947
14668	2948
14668	2950
14670	1088
14670	1219
14670	1358
14670	1670
14670	1783
14670	1845
14670	1860
14670	1919
14673	1125
14673	1225
14673	1359
14673	1650
14673	1792
14673	1869
14673	1925
14676	1088
14676	1089
14676	1225
14676	1269
14676	1359
14676	1649
14676	1869
14676	1925
14678	1261
14678	1293
14678	1339
14678	1555
14678	1637
14678	1782
14678	1845
14678	1920
14679	1058
14679	1077
14679	1078
14679	1225
14679	1637
14679	1784
14679	1835
14679	1925
14679	2920
14681	1055
14681	1059
14681	1125
14681	1250
14681	1359
14681	1650
14681	1869
14681	1920
14682	1059
14682	1065
14682	1249
14682	1256
14682	1357
14682	1648
14682	1947
14682	2818
14682	2904
14682	2920
14685	1055
14685	1059
14685	1126
14685	1249
14685	1648
14685	1867
14685	1947
14685	2818
28562	1013
28562	1219
28562	1265
28562	1338
28562	1629
28562	1766
28562	1829
28562	1919
28562	4845
31970	1025
31970	1261
31970	1660
31970	1867
31970	1947
31970	2818
32123	1061
32123	1225
32123	1359
32123	1442
32123	1649
32123	1849
32123	1925
34788	1025
34788	1105
34788	1215
34788	1338
34788	1413
34788	1615
34788	1843
34788	1915
35021	1077
35021	1078
35021	1135
35021	1207
35021	1355
35021	1605
35021	1782
35021	1805
35021	2802
35085	1077
35085	1261
35085	1359
35085	1650
35085	1869
35085	1920
35085	1938
35091	1225
35091	1235
35091	1535
35091	1624
35091	1867
35091	1925
35091	2818
35091	2920
35091	5512
35144	1126
35144	1261
35144	1359
35144	1669
35144	1869
35144	1948
35144	2818
35208	1077
35208	1239
35208	1648
35208	1849
35208	1867
35208	1947
35208	2818
35219	1055
35219	1056
35219	1125
35219	1225
35219	1358
35219	1629
35219	1925
35219	1940
35261	1105
35261	1235
35261	1414
35261	1433
35261	1676
35261	2818
35261	2913
35261	2920
35261	2946
35261	2947
35451	1035
35451	1125
35451	1225
35451	1637
35451	1792
35451	1849
35451	1925
35456	1215
35456	1338
35456	1515
35456	1805
35456	1816
35456	1845
35456	1784A
35457	1119
35457	1126
35457	1159
35457	1239
35457	1649
35457	1867
35457	2818
35457	1784A
35536	1261
35536	1359
35536	1637
35536	1755
35536	1792
35536	1849
35536	1925
35536	1940
35566	1017
35566	1235
35566	1624
35566	1784
35566	1835
35566	1931
35566	2818
35566	2920
35567	1119
35567	1249
35567	1317
35567	1535
35567	1649
35567	1867
35567	2818
35659	1055
35659	1250
35659	1649
35659	1784
35659	1867
35659	1948
35659	2818
35670	1031
35670	1077
35670	1209
35670	1355
35670	1605
35670	1765
35670	1809
35670	1906
35670	2808
35841	1239
35841	1503
35841	1584
35841	1649
35841	1867
35841	1948
35841	2818
35890	1414
35890	1433
35890	1503
35890	1606
35890	1613
35890	2920
35890	2950
36066	1116
36066	1249
36066	1433
36066	1648
36066	1867
36066	1937
36066	2818
36266	1119
36266	1126
36266	1249
36266	1670
36266	1867
36266	2818
36349	1012
36349	1239
36349	1648
36349	1867
36349	1937
36349	1947
36349	2818
36433	1126
36433	1250
36433	1320
36433	1669
36433	1783
36433	1869
36433	1940
36433	1947
36433	2818
36489	1031
36489	1239
36489	1269
36489	1414
36489	1624
36489	1947
36489	2818
36489	2920
36805	1249
36805	1669
36805	1766
36805	1792
36805	1820
36805	2818
36827	1052
36827	1057
36827	1061
36827	1219
36827	1247
36827	1358
36827	1615
36827	1782
36827	1845
36827	1919
36929	1030
36929	1088
36929	1250
36929	1320
36929	1680
36929	1820
36929	1948
36929	2818
36950	1017
36950	1414
36950	1784
36950	2818
36950	2903
36950	2945
36950	2946
36950	2947
36950	2948
36950	2950
37017	1207
37017	1357
37017	1523
37017	1582
37017	1765
37017	1815
37017	1906
37017	2802
37020	1012
37020	1061
37020	1105
37020	1219
37020	1358
37020	1442
37020	1615
37020	1834
37020	1915
37023	1013
37023	1105
37023	1219
37023	1262
37023	1338
37023	1629
