StudentID	Student_Number	CourseNumber	YearID
75010	56276	2810A	3500
75010	56276	2912	3500
75010	56276	2912F	3500
129983	64309	2807	3500
84701	57116	2912F	3500
84701	57116	2912	3500
122724	63293	2912W	3500
122724	63293	2912	3500
122724	63293	2912Tu	3500
122824	63322	2912	3500
85238	57291	2912F	3500
85238	57291	2912	3500
85238	57291	2912Th	3500
85238	57291	2912Tu	3500
102573	59021	1765A	3500
102573	59021	2912W	3500
102573	59021	2912Tu	3500
102573	59021	1783A	3500
84695	57110	2912W	3500
67735	51900	2912	3500
122673	63290	2912Tu	3500
135291	64949	2912Th	3500
135291	64949	2912	3500
67802	51939	2912F	3500
67802	51939	2912W	3500
67802	51939	2912	3500
135294	64952	2912	3500
135294	64952	1105A	3500
136143	65145	2912	3500
136143	65145	2912Th	3500
75521	56454	2912Th	3500
84736	57135	4135A	3500
84736	57135	2912W	3500
75031	56297	2810A	3500
75031	56297	2912Tu	3500
135295	64953	1105A	3500
72278	54465	1524	3500
72278	54465	2912Tu	3500
72278	54465	2912W	3500
119673	63029	1782A	3500
60923	49694	2912F	3500
60923	49694	2912W	3500
60923	49694	2912Tu	3500
72376	54473	2912Tu	3500
130426	64600	2912	3500
128336	63845	2912	3500
73308	55033	2811D	3500
73301	55026	2912W	3500
75048	56314	1938A	3500
129957	64283	2811C	3500
129957	64283	1535	3500
129957	64283	2912F	3500
65723	51268	2912F	3500
65723	51268	2912W	3500
72280	54467	2811M	3500
72280	54467	2912F	3500
73104	54656	2912Tu	3500
116579	62175	1782A	3500
73065	54617	1839	3500
73065	54617	2912Tu	3500
73065	54617	2912W	3500
128424	63850	2912F	3500
75041	56307	1088A	3500
75041	56307	1118A	3500
73274	55103	2811M	3500
73274	55103	2912W	3500
73274	55103	1125A	3500
60938	49709	2912	3500
60938	49709	2912Th	3500
60938	49709	2912Tu	3500
111931	61317	1125A	3500
111931	61317	2912F	3500
61426	50296	2912F	3500
61426	50296	2912Th	3500
74455	55737	2912Tu	3500
129928	64253	2912Tu	3500
49723	45460	2912Th	3500
49723	45460	2912W	3500
107985	60502	2912F	3500
107985	60502	2912Th	3500
136691	65344	2811L	3500
136691	65344	2912Th	3500
117186	62606	2811L	3500
117186	62606	2912Th	3500
107434	60376	2811L	3500
122150	36830	2912Tu	3500
122150	36830	2912F	3500
110273	60951	2912Th	3500
110273	60951	2912	3500
128625	63867	2912	3500
138001	65736	2912Tu	3500
138001	65736	2912	3500
70726	53514	1026	3500
70726	53514	2912Th	3500
70726	53514	2912	3500
70600	53421	2912F	3500
70600	53421	2912Tu	3500
60992	49763	2912F	3500
60992	49763	2912Th	3500
60992	49763	2912W	3500
60992	49763	2912Tu	3500
121845	52302	2912Tu	3500
121845	52302	2912	3500
121845	52302	2912W	3500
79995	60021	2912W	3500
79995	60021	2912Th	3500
86623	57499	2912F	3500
86623	57499	2912Tu	3500
86623	57499	2912	3500
136669	65321	2912F	3500
136669	65321	2912W	3500
136669	65321	2912	3500
70317	53140	1061A	3500
70317	53140	2912Tu	3500
103123	59171	2912Th	3500
103123	59171	2912	3500
117440	62797	2912Tu	3500
85259	57312	2912	3500
85259	57312	1936A	3500
129915	64240	2810H	3500
129915	64240	2912F	3500
129915	64240	2912Tu	3500
103442	59348	2912W	3500
84742	57141	2912W	3500
60913	49684	2912Th	3500
112527	61640	1012A	3500
54911	47113	2912Th	3500
54911	47113	2912	3500
107128	59945	1937A	3500
107128	59945	1720A	3500
107128	59945	2912F	3500
85203	57268	2912Th	3500
85203	57268	2912	3500
73450	55136	2912W	3500
73450	55136	1725A	3500
73450	55136	2912	3500
64730	51122	2912Tu	3500
70325	53148	2912	3500
54227	46588	2912	3500
136388	65242	2802	3500
102426	58982	2912	3500
100523	58811	2912	3500
100523	58811	2912F	3500
100523	58811	2912Th	3500
80354	61103	1412A	3500
80354	61103	1783A	3500
80354	61103	2912Tu	3500
125273	63662	2912	3500
125273	63662	1412A	3500
131183	64656	2912Th	3500
80518	62052	1031A	3500
80518	62052	2912Tu	3500
35434	705813	1605A	3500
136545	65290	1605A	3500
138208	65762	1605A	3500
85192	57257	1605A	3500
131890	64723	1605A	3500
117342	62724	1605A	3500
63921	50778	1605A	3500
66004	51363	1605A	3500
137042	65595	1605A	3500
